Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
3.86,-317.49801420577893,116.40899690677084,119.49112753771442
3.87,233.9938719418181,115.99147619545103,120.65312990322553
3.88,400.5338318815072,119.16411471456766,121.82890785777563
3.89,147.46658486600288,121.90411679830521,123.03424901534
3.9,-255.42180190226048,121.36434071312392,124.25059130289713
3.91,-445.0566860117813,117.86194827355371,125.44672274783052
3.92,-220.2939403230652,114.53519514187947,126.60870846490769
3.93,291.3930635186514,114.8906907578574,127.75583789440638
3.94,749.3432023754164,120.09437208732774,128.9307632086323
3.95,836.9561073663754,128.0258686360367,130.17136441224912
3.96,499.3666904200616,134.7074826249689,131.48503116855414
3.97,-60.81844705757081,136.90022384178135,132.8430697008879
3.98,-481.5177458952001,134.1885428770175,134.1985135344819
3.99,-581.6036514134416,128.8729358904743,135.51382092831935
4.0,-413.2227435764828,123.89880391552468,136.77767962734933
4.01,-258.9957510677738,120.53771144230339,137.99986220413848
4.0200000000000005,-384.9401361353058,117.31803200628799,139.18914092138144
4.03,-841.4277565614628,111.18619254280415,140.3316620441269
4.04,-1409.0321338990998,99.93389309050133,141.3872624722934
4.05,-1742.7376523990176,84.17504415901074,142.30780715854095
4.0600000000000005,-1608.1282387082767,67.42071470347426,143.0657859528534
4.07,-1072.1494614857877,54.01932620250394,143.6729861573833
4.08,-453.1549014466111,46.39280438784195,144.17504681033503
4.09,-101.2700106564307,43.62067982732674,144.6251142314109
4.1,-158.83105126809926,42.32017451770409,145.05481850313603
4.11,-442.95503179077247,39.31124410240973,145.4629755962366
4.12,-594.8157578985115,34.12239015396331,145.83014376751845
4.13,-347.2213940131289,29.41220439440511,146.14781674026028
4.14,265.27970246782013,29.002495936678564,146.4398902419157
4.15,875.0010261328165,34.703899579681746,146.7584222194975
4.16,1037.6882376073793,44.26734589838273,147.15327844688784
4.17,587.4035024410344,52.3928045986248,147.63657919937287
4.18,-254.52969748212013,54.057173623419374,148.1688290904831
4.19,-933.292647060673,48.118061900705406,148.6797052681037
4.2,-1005.2646856712968,38.425275237045554,149.11242195379245
4.21,-487.8459313218557,30.95972215207979,149.45934694073807
4.22,43.33354512990111,28.737160221120018,149.75783135260406
4.23,-298.08689928695617,27.463393450334742,150.03883412096133
4.24,-2101.0300451219173,15.467808728290374,150.25349013185445
4.25,-5146.388678355277,-20.7692848890956,150.22698275105043
4.26,-8341.204562409866,-88.20725109292133,149.68210007114035
4.2700000000000005,-10099.248180918255,-180.40951480956193,148.33901624162795
4.28,-9172.411324564737,-276.7678123369769,146.05312960589526
4.29,-5320.88903135485,-349.2343141165748,142.9231189736275
4.3,415.5998841484589,-373.7607598526068,139.30814360378162
4.3100000000000005,6170.565510346383,-340.82993288013256,135.7351901401179
4.32,10034.18472780953,-259.806181689353,132.73200956727047
4.33,10991.786299635934,-154.67632655212572,130.65959702606307
4.34,9250.710993501703,-53.463840086437514,129.61889619287024
4.3500000000000005,6059.449972650397,23.086964744322984,129.46701181615967
4.36,2964.207026306429,68.20524973910712,129.9234728885768
4.37,1087.9967645161853,88.46626869322019,130.70683048073846
4.38,633.6846396349064,97.07467571397564,131.63453520277443
4.39,1031.1301982585207,105.39874990344278,132.6469023308615
4.4,1425.399495547298,117.68139837247188,133.76230307224108
4.41,1225.649580557562,130.9366437529962,135.00539328286843
4.42,443.75829130078216,139.28368311228792,136.35649491719485
4.43,-472.940115447598,139.13777399155384,137.74860220271407
4.44,-980.9679126827324,131.8682338509022,139.10363224192633
4.45,-870.0774341334807,122.61300711682112,140.37603844676494
4.46,-312.520938638966,116.70001525295889,141.57260355861385
4.47,240.1828980538509,116.33832505003332,142.73779526012882
4.48,404.83536510158194,119.56341636581048,143.91730396720803
4.49,142.307348231451,122.29912993247565,145.12661669869945
4.5,-262.9574547786388,121.69587939973971,146.34659174536054
4.51,-446.21579560375545,118.15001314782774,147.54582120809837
4.5200000000000005,-223.5720403174626,114.80107396822164,148.71057664367862
4.53,282.0332155203108,115.09337984423588,149.86004891274092
4.54,746.7095814606307,120.23709382914059,151.0367012811078
4.55,838.885527638659,128.16506937463703,152.2787120971267
4.5600000000000005,493.4057701134314,134.82652586339748,153.59367007331687
4.57,-50.80464048532615,137.039531511538,154.95300036019154
4.58,-483.16512596336486,134.36968267929456,156.3100464311457
4.59,-582.78527645551,129.03993066720017,157.62709449787818
4.6000000000000005,-413.885573272472,124.05657641856025,158.89257703330696
4.61,-260.50937962416265,120.68460165407708,160.11628292367016
4.62,-384.7751086020728,117.45817921294591,161.30699682800528
4.63,-834.5310084288423,111.36164862779133,162.45109596720897
4.64,-1411.738843084404,100.13029937022509,163.50855570719906
4.65,-1737.3097277104453,84.38505651625084,164.43113248663144
4.66,-1610.7715396477945,67.64465017945965,165.19128102010998
4.67,-1069.1908789817246,54.24483808631205,165.80072846143884
